inst_id,inst_name,inst_id
63A,Academy of Moore County,63A
13C,A.C.E. Academy,13C
010,Alamance-Burlington Schools,010
020,Alexander County Schools,020
020,Alexander County Schools,020
030,Alleghany County Schools,030
26B,Alpha Academy,26B
49B,American Renaissance School,49B
43C,Anderson Creek Club Charter School,43C
040,Anson County Schools,040
90F,Apprentice Academy HS of NC,90F
69A,Arapahoe Charter School,69A
60N,Aristotle Preparatory Academy,60N
11B,ArtSpace Charter,11B
53B,Ascend Leadership Academy: Lee County,53B
050,Ashe County Schools,050
761,Asheboro City Schools,761
111,Asheville City Schools,111
060,Avery County Schools,060
58B,Bear Grass Charter School,58B
070,Beaufort County Schools,070
080,Bertie County Schools,080
79A,Bethany Community Middle,79A
73A,Bethel Hill Charter,73A
090,Bladen County Schools,090
61V,TeamCFA: Bonnie Cone Classical Academy,61V
60S,Bradford Preparatory School,60S
88A,Brevard Academy,88A
97D,Bridges Academy,97D
100,Brunswick County Schools,100
110,Buncombe County Schools,110
120,Burke County Schools,120
130,Cabarrus County Schools,130
130,Cabarrus County Schools,130
140,Caldwell County Schools,140
150,Camden County Schools,150
65A,Cape Fear Center for Inquiry,65A
26C,Capitol Encore Academy,26C
92W,Cardinal Charter Academy,92W
13A,Carolina International School,13A
32C,Carter Community Charter,32C
34D,C G Woodson Sch of Challenge,34D
160,Carteret County Public Schools,160
160,Carteret County Public Schools,160
92R,Casa Esperanza Montessori,92R
170,Caswell County Schools,170
170,Caswell County Schools,170
180,Catawba County Schools,180
32K,Central Park School for Children,32K
93L,Central Wake Charter High School,93L
681,Chapel Hill-Carrboro Schools,681
681,Chapel Hill-Carrboro Schools,681
681,Chapel Hill-Carrboro Schools,681
60P,Charlotte Choice Charter,60P
61M,Charlotte Lab School,61M
60K,Charlotte Secondary School,60K
10A,Charter Day School,10A
19A,Chatham Charter,19A
190,Chatham County Schools,190
200,Cherokee County Schools,200
54A,Children's Village Academy,54A
78A,CIS Academy,78A
220,Clay County Schools,220
230,Cleveland County Schools,230
821,Clinton City Schools,821
01C,Clover Garden,01C
65F,Coastal Preparatory Academy,65F
41H,The College Preparatory and Leadership Academy,41H
24N,Columbus Charter School,24N
240,Columbus County Schools,240
60U,Commonwealth High School,60U
36G,TeamCFA-Community Public Charter,36G
60I,Community School of Davidson,60I
41G,Cornerstone Charter Academy,41G
60M,Corvian Community School,60M
250,Craven County Schools,250
250,Craven County Schools,250
260,Cumberland County Schools,260
270,Currituck County Schools,270
280,Dare County Schools,280
29A,Davidson Charter Academy: CFA,29A
290,Davidson County Schools,290
300,Davie County Schools,300
65Z,DC Virgo Preparatory Academy LAN,65Z
96C,Dillard Academy,96C
32T,Discovery Charter School,32T
65C,Douglass Academy,65C
310,Duplin County Schools,310
61W,East Voyager Academy of Charlotte,61W
92G,East Wake Academy,92G
298E,Eastern NC School for the Deaf,298E
210,Edenton/Chowan Schools,210
