County Code,County Description,LEA,School Name --------------------------------,Official School Name --------------------------------,Principal/Director Name Prefix,Principal/Director First Name,Principal/Director Middle Name,Principal/Director Last Name,Principal/Director Name Suffix,Principal/Director Email,Board Chair Name Prefix,Board Chair First Name,Board Chair Middle Name,Board Chair Last Name,Board Chair Name Suffix,Board Chair Email,Address Line1 -------------------,Address Line2,City,State,Zip Code 5,Mailing Address Line1 ---------------,Mailing Address Line2,Mailing City,Mailing State,Mailing Zip Code 5,Phone,Fax,Opening Effective Date,Grade Level Current,Grade Level Approved,Virtual Status
32,Durham,00A,North Carolina Cyber Academy,North Carolina Cyber Academy,Mr,Martez,-,Hill,-,mhill@myncca.com,-,Jill,-,Hammergren,-,jhammergren@myncc.com,2800 Meridian Parkway,Suite 150,Durham,NC,27713,-,-,-,-,-,984.262.9237,919.406.0063,07/01/2015,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,FULLVIRTUAL
32,Durham,00B,NC Virtual Academy,NC Virtual Academy,-,Marcia,-,Simmons,-,masimmons@k12.com,-,Steve,-,Moody,-,smoody@ncvacademy.org,4220 NC Highway 55,Suite 130,Durham,NC,27713,-,-,-,-,-,919.346.0121,919.324.6597,07/01/2015,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,FULLVIRTUAL
1,Alamance,01B,River Mill Academy,River Mill Academy,Mr,Jeffrey,-,Dishmon,-,jdishmon@rivermill-academy.org,-,Brent ,-,Smith,-,bsmith@rivermill-academy.org,235 Cheeks Lane,-,Graham,NC,27253,-,-,-,-,-,336.229.0909,336.228.9941,06/30/1998,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
1,Alamance,01C,Clover Garden,Clover Garden,Mrs,Heather,-,Vereyken,-,heathervereyken@cgsnc.org,Ms,Catherine,-,June,-,cathyajune@gmail.com,2454 Altamahaw Union Ridge Road,-,Burlington,NC,27217,-,-,-,-,-,336.586.9440,336.586.9477,06/30/2001,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
1,Alamance,01D,The Hawbridge School,The Hawbridge School,Ms,Jennifer,-,Shelton,-,jshelton@hawbridgeschool.org,Mrs,Natalya,-,Barker,-,nbarker@hawbridgeschool.org,1735 Saxapahaw Bethlehem Church Rd,-,Saxapahaw,NC,27340,PO Box 40,-,Saxapahaw,NC,27340,336.376.1122,336.376.6996,07/01/2004,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
1,Alamance,01F,Alamance Community School,Alamance Community School,Mrs,Leslie,Hall,Paynter,-,lpaynter@alamancecommunityschool.net,Mrs,Natalie ,Wu,Turner,-,nwu.2485@gmail.com,195 Kronbergs Court,-,Haw River,NC,27258,-,-,-,-,-,336.270.5052,336.270.5062,07/01/2020,KG:01:02:03:04,KG:01:02:03:04:05:06:07:08,NOTVIRTUAL
6,Avery,06B,Marjorie Williams Academy,Marjorie Williams Academy,Dr,Cyndi,H,Austin,-,caustin@williamsacademy.org,-,Traci,-,Royster,-,boardmember@williamsacademy.org ,129 Allen Circle,-,Crossnore,NC,28616,PO Box 309,-,Crossnore,NC,28616,828.733.5241,828.737.7915,06/30/1999,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
7,Beaufort,07A,Washington Montessori,Washington Montessori Public Charter School,Mr,Austin, ,Smigel,-,austin.smigel@wmpcs.org,Mr,Jamie,-,Midgette,-,jamie.midgette@wmpcs.org,2330 Old Bath Hwy,-,Washington,NC,27889,-,-,-,-,-,252.946.1977,252.946.5938,06/30/2000,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
9,Bladen,09A,Paul R. Brown Leadership Academy,Paul R. Brown Leadership Academy,Dr,Jason,M.,Wray,-,jwray@prbla.org,Dr,Leroy,-,Purdie,-,lpurdie51@gmail.com,1360 Martin L King Jr Dr,-,Elizabethtown,NC,28337,PO Box 1433,-,Elizabethtown,NC,28337,910.862.2965,910.862.3054,07/01/2013,06:07:08:09:10:11:12,06:07:08:09:10:11:12,NOTVIRTUAL
9,Bladen,09B,Emereau: Bladen,Emereau: Bladen,Mrs,Elizabeth,-,Cole,-,elizabethcole@emereau.org,Mrs,Ashley,-,Dowless,-,ashleydowless@emereau.org,995 Airport Rd,-,Elizabethtown,NC,28337,PO Box 547,-,Elizabethtown,NC,28337,910.247.6595,910.247.6643,07/01/2017,KG:01:02:03:04:05:06:07:08,KG:01:02:03:04:05:06:07:08:09:10:11:12,NOTVIRTUAL
